15
0,171,144,163,135,159,139,148,148,152,162,173,144,167,151
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,171,144,163,135,159,139,148,148,152,162,173,144,167,151
157,10,19,15,8,21,18,5,1,17,12,4,7,11,9
145,2,13,4,5,16,9,17,14,18,20,3,10,6,8
175,6,14,3,12,15,17,13,4,16,9,8,18,19,21
164,20,17,5,16,9,1,3,6,21,18,19,12,13,4
146,16,20,13,7,5,2,6,8,11,10,14,19,12,3
146,19,6,17,4,1,14,10,12,9,16,5,2,20,11
147,3,9,1,20,4,11,7,15,19,2,13,6,21,16
159,14,8,9,6,20,4,18,17,1,15,21,3,10,13
154,21,1,19,10,3,5,15,13,8,6,20,17,2,14
160,12,11,21,9,14,6,4,16,2,8,18,13,7,19
152,18,2,10,19,12,7,21,3,5,14,6,11,9,15
145,4,5,12,2,18,16,8,7,3,11,15,20,14,10
168,9,7,16,3,13,19,12,21,15,17,11,5,18,2
138,17,12,18,14,8,10,9,11,7,4,16,1,5,6
