19
0,252,216,264,243,283,274,242,262,254,242,250,255,230,254,238,229,243,240
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,252,216,264,243,283,274,242,262,254,242,250,255,230,254,238,229,243,240
229,2,5,16,20,6,22,1,26,8,7,12,24,10,15,13,27,4,11
265,15,7,3,21,24,25,2,23,22,12,14,26,6,16,19,18,11,1
226,9,19,25,24,8,6,4,10,1,13,21,22,3,11,18,2,7,23
221,1,3,2,16,14,20,19,9,24,27,5,11,18,7,6,13,22,4
258,25,23,21,18,7,19,13,1,2,22,16,3,5,27,20,11,10,15
261,11,20,14,27,26,5,3,16,12,8,23,25,15,22,2,1,21,10
250,13,2,10,1,21,23,27,15,7,25,24,8,9,14,16,6,3,26
246,22,11,23,13,16,21,8,7,18,15,2,14,20,24,10,9,1,12
273,16,26,13,4,11,9,23,21,14,1,19,18,17,3,5,22,24,27
228,20,13,5,7,2,11,18,6,21,3,17,27,1,12,22,8,26,9
242,10,1,6,3,23,24,11,22,5,19,26,16,2,20,12,7,18,17
219,14,21,4,25,15,17,22,13,10,9,6,2,8,1,11,5,20,16
286,26,6,27,17,10,4,25,11,15,24,13,12,19,18,1,23,14,21
265,5,12,19,2,25,26,10,27,20,14,15,9,24,23,4,21,6,3
269,27,10,15,19,9,1,12,24,16,5,22,17,21,8,23,25,2,13
254,3,25,24,6,17,8,9,5,27,20,11,15,14,26,21,4,12,7
217,12,4,26,11,27,15,20,14,9,16,1,5,13,2,8,3,25,6
262,21,8,11,9,22,18,15,12,23,2,3,1,25,5,27,24,17,19
