14
0,137,145,143,133,140,132,126,130,152,125,150,123,124
125,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,137,145,143,133,140,132,126,130,152,125,150,123,124
125,12,5,7,17,11,19,13,2,6,10,16,3,4
131,2,3,19,13,14,18,7,17,5,15,6,1,11
129,10,16,13,18,5,11,1,12,19,8,3,4,9
146,16,14,10,5,20,7,19,9,4,3,18,13,8
109,6,11,1,3,12,4,5,19,8,7,14,17,2
117,5,20,3,2,10,12,15,6,9,19,4,11,1
139,7,12,2,1,17,20,11,13,15,9,19,8,5
133,11,8,16,10,4,3,18,5,7,14,1,19,17
144,17,18,14,12,3,2,10,11,20,6,15,9,7
141,18,10,20,14,6,16,3,4,17,1,5,15,12
159,19,2,18,11,16,13,4,15,14,12,20,5,10
143,1,17,9,8,7,6,14,10,18,5,12,16,20
144,13,9,11,19,15,1,6,7,10,16,17,2,18
