11
0,64,78,81,83,81,73,89,77,78,76
76,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0
result

0,64,78,81,83,81,73,89,77,78,76
76,2,13,7,6,14,12,5,3,4,10
76,12,2,6,13,1,7,9,15,3,8
84,11,8,2,5,15,9,1,7,12,14
75,8,4,11,9,3,13,6,14,2,5
74,6,11,10,15,2,1,3,4,9,13
84,3,6,14,2,13,15,12,10,8,1
72,4,3,12,11,6,5,13,2,7,9
80,10,15,1,8,9,2,14,5,13,3
84,1,7,3,10,8,6,15,9,14,11
75,7,9,15,4,10,3,11,8,6,2
