15
0,143,134,161,148,176,138,167,176,137,151,160,159,171,162
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,143,134,161,148,176,138,167,176,137,151,160,159,171,162
181,12,19,20,14,7,3,6,21,15,17,10,18,11,8
132,4,3,6,16,13,11,9,12,18,10,1,8,7,14
172,5,16,14,9,19,15,10,7,8,13,17,6,21,12
172,21,7,12,8,15,16,18,17,6,14,4,10,13,11
157,19,2,10,12,3,18,15,8,1,16,6,14,20,13
140,14,10,1,3,16,5,12,15,4,2,7,11,19,21
135,10,9,7,11,17,13,20,5,14,15,8,3,1,2
183,8,6,15,20,21,10,5,16,9,11,18,13,14,17
149,17,1,11,19,20,6,4,13,5,9,15,12,10,7
155,7,21,19,5,4,14,8,10,20,1,16,9,3,18
156,13,8,17,18,12,1,3,19,10,6,14,16,15,4
157,3,14,8,2,9,4,19,11,17,21,20,7,12,10
148,9,13,3,4,6,20,17,2,7,12,5,15,16,19
146,1,5,18,7,14,2,21,20,3,4,19,17,9,6
