13
0,105,129,121,139,112,108,123,118,111,106,134,105
114,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0
result

0,105,129,121,139,112,108,123,118,111,106,134,105
114,3,10,2,18,1,11,13,14,12,9,17,4
125,1,14,11,12,7,9,10,8,2,16,18,17
98,5,15,17,11,13,8,3,10,1,4,9,2
114,17,11,16,14,5,3,7,1,18,2,8,12
124,18,13,4,10,16,14,1,17,7,6,3,15
125,11,2,10,16,4,15,18,12,3,13,14,7
131,7,5,12,15,18,6,16,3,8,17,11,13
97,2,3,15,13,12,1,9,5,17,10,4,6
123,14,12,9,5,3,10,6,4,11,18,15,16
108,4,9,6,2,11,13,14,15,10,7,16,1
118,13,17,5,6,14,2,11,18,16,1,12,3
134,10,18,14,17,8,16,15,11,6,3,7,9
