13
0,123,107,119,116,121,99,107,119,122,110,122,107
106,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0
result

0,123,107,119,116,121,99,107,119,122,110,122,107
106,18,16,12,13,15,7,2,6,3,1,9,4
114,2,10,18,7,9,4,3,11,14,12,16,8
110,3,5,6,9,18,16,12,2,15,10,13,1
122,6,3,17,8,7,11,10,15,16,2,18,9
100,9,15,1,16,5,2,14,12,4,3,8,11
122,12,8,2,11,14,17,16,10,6,4,7,15
128,17,7,11,15,16,9,1,18,5,13,14,2
93,8,12,5,4,6,1,18,3,13,7,2,14
112,5,1,15,18,10,3,4,8,17,14,11,6
127,16,9,7,10,8,13,15,5,11,18,3,12
128,13,4,9,3,12,10,7,16,8,11,17,18
110,14,17,16,2,1,6,5,13,10,15,4,7
