11
0,74,84,86,76,73,74,91,86,77,86
78,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0
result

0,74,84,86,76,73,74,91,86,77,86
78,2,7,13,4,12,11,15,3,1,10
76,5,11,7,8,6,4,9,13,10,3
95,15,12,8,5,11,10,14,4,3,13
78,10,2,11,7,4,5,12,6,13,8
78,13,14,1,11,5,2,4,10,6,12
73,4,10,2,9,3,8,6,5,11,15
85,3,8,10,15,1,12,13,11,7,5
82,7,3,15,10,9,6,2,14,5,11
89,9,13,5,6,15,3,11,8,12,7
73,6,4,14,1,7,13,5,12,9,2
