17
0,204,204,182,181,192,189,186,196,200,188,211,213,211,188,215,197
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,204,204,182,181,192,189,186,196,200,188,211,213,211,188,215,197
190,8,5,1,23,21,16,18,4,13,6,10,22,7,14,2,20
179,2,14,13,5,11,17,9,8,15,24,22,10,18,7,3,1
215,20,24,10,4,3,19,6,16,22,5,23,18,8,13,15,9
226,14,10,11,13,1,9,15,18,5,23,17,6,19,20,24,21
192,1,16,15,6,4,20,3,10,23,21,7,14,2,17,22,11
197,19,9,24,1,15,14,8,2,17,10,5,11,20,12,23,7
207,5,23,20,14,13,2,21,7,4,11,19,9,6,22,16,15
194,23,12,2,18,19,3,1,13,14,7,15,20,24,10,8,5
188,18,2,5,15,16,4,17,22,6,12,8,7,9,23,21,3
205,21,19,9,7,5,23,22,1,18,4,20,15,12,2,11,16
222,9,18,14,10,23,22,12,15,2,19,3,24,16,5,13,17
194,22,1,4,20,2,10,24,17,12,14,13,3,11,16,7,18
165,10,6,7,3,17,18,2,14,1,13,9,23,21,4,5,12
202,17,7,16,21,18,6,10,23,20,2,12,13,1,3,19,14
174,3,17,8,2,10,1,7,20,21,9,4,16,15,11,6,24
207,12,21,23,19,14,5,11,6,7,8,24,2,22,9,20,4
