12
0,100,109,103,93,115,91,92,108,97,93,89
102,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0
result

0,100,109,103,93,115,91,92,108,97,93,89
102,14,13,7,6,5,4,3,15,11,16,8
90,4,16,10,13,2,3,1,12,5,9,15
93,5,2,13,7,16,14,12,9,8,1,6
109,17,9,14,12,8,7,16,5,15,2,4
102,8,10,11,4,12,2,7,16,13,14,5
100,13,12,16,11,3,10,8,14,2,4,7
102,1,15,8,5,17,6,13,4,10,11,12
103,16,14,12,9,15,13,11,2,4,6,1
75,6,4,1,8,10,5,9,11,16,3,2
106,9,6,5,3,14,15,2,17,12,10,13
108,7,8,6,15,13,12,10,3,1,17,16
