15
0,172,156,150,136,143,177,136,141,171,179,147,170,159,137
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,172,156,150,136,143,177,136,141,171,179,147,170,159,137
150,9,10,19,17,2,12,6,3,21,14,15,4,5,13
151,7,9,2,10,12,21,18,14,13,1,6,16,17,5
159,5,7,13,2,21,18,19,12,20,8,4,10,14,6
137,10,3,12,8,13,14,2,5,7,19,9,15,16,4
175,21,17,16,18,14,3,13,9,5,15,20,19,4,1
163,17,13,1,7,10,11,14,6,18,16,5,9,15,21
165,3,11,7,19,4,10,5,20,9,21,16,17,8,15
134,20,6,15,16,1,4,3,18,2,7,11,5,12,14
154,18,19,3,6,11,8,15,1,17,20,2,13,9,12
165,19,8,4,12,20,17,16,11,6,18,7,14,3,10
165,2,20,11,1,3,5,8,19,15,12,14,18,21,16
132,14,12,9,3,17,19,1,4,11,5,18,2,10,7
170,16,5,20,4,9,15,12,2,19,13,17,21,6,11
154,11,16,18,13,6,20,4,17,8,10,3,7,19,2
