18
0,249,232,227,216,221,238,242,228,203,277,244,248,179,215,220,232,219
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,249,232,227,216,221,238,242,228,203,277,244,248,179,215,220,232,219
246,15,6,11,18,4,21,14,12,23,16,24,19,25,10,1,5,22
263,18,13,25,16,9,6,10,15,8,23,26,12,19,1,21,24,17
220,22,18,2,7,17,26,8,13,3,25,21,6,1,24,14,4,9
237,23,19,13,6,21,1,15,18,16,3,8,17,5,25,11,26,10
220,26,11,8,5,19,15,25,24,2,17,6,4,13,23,18,1,3
213,11,14,7,15,2,20,21,17,19,26,12,13,3,4,6,18,5
226,3,24,23,17,14,25,13,8,12,7,15,9,4,6,20,10,16
227,17,4,16,19,3,10,22,2,21,24,11,8,23,14,7,25,1
229,10,20,19,2,26,9,3,4,14,8,23,25,17,16,5,21,7
196,8,1,12,24,11,19,5,7,18,21,3,10,15,13,16,9,4
247,12,8,26,11,25,23,6,16,5,15,20,7,2,17,19,22,13
222,13,5,6,14,8,4,24,20,11,12,18,22,10,9,17,3,26
212,20,23,4,10,7,2,19,9,1,11,17,26,12,15,3,8,25
225,16,21,10,22,20,5,18,23,24,14,1,11,8,2,4,7,19
227,2,3,22,20,1,12,11,14,7,13,10,15,6,26,25,17,23
249,19,26,18,9,10,22,16,5,4,20,25,21,7,3,23,13,8
231,14,16,5,1,24,18,12,21,15,22,4,23,9,7,10,19,11
