14
0,143,121,126,121,140,133,128,130,135,131,136,150,135
136,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,143,121,126,121,140,133,128,130,135,131,136,150,135
136,8,19,4,7,11,13,6,2,18,17,14,16,1
112,3,5,12,4,17,9,11,6,10,13,1,14,7
135,15,1,18,9,3,11,13,20,2,16,12,10,5
137,19,4,20,5,10,1,9,12,17,3,16,15,6
134,18,2,7,10,14,15,20,11,8,4,9,13,3
132,9,8,11,12,20,7,10,16,4,14,2,1,18
111,2,13,3,1,7,12,8,5,6,11,15,18,10
159,10,7,15,17,13,2,5,18,11,19,20,6,16
123,12,15,1,6,9,8,4,17,14,10,3,5,19
134,14,10,9,13,12,17,15,7,19,5,6,3,4
138,16,3,2,8,18,19,1,9,12,6,13,20,11
149,6,20,16,11,2,14,19,4,5,12,8,17,15
129,11,14,8,18,4,5,7,3,9,1,17,12,20
