16
0,188,167,171,191,181,202,175,176,175,160,144,183,182,175,200
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,188,167,171,191,181,202,175,176,175,160,144,183,182,175,200
179,2,14,15,6,20,10,11,9,19,8,3,21,1,18,22
165,18,5,3,19,14,12,6,7,21,1,10,22,16,9,2
189,1,15,22,18,3,14,17,20,5,13,19,7,12,2,21
172,12,22,20,16,10,2,3,14,8,18,13,6,7,17,4
205,21,11,14,4,17,22,7,6,15,12,1,23,20,13,19
164,14,17,2,7,9,20,21,1,18,15,12,11,4,8,5
171,23,9,1,14,5,8,20,22,11,16,4,17,2,12,7
192,7,16,8,9,12,23,10,18,13,4,11,3,22,19,17
155,5,7,4,17,21,15,13,8,2,19,14,1,6,3,20
182,9,2,13,10,18,17,19,21,3,5,6,4,23,20,12
177,16,3,12,11,13,9,14,4,6,2,5,20,21,23,18
191,20,4,21,5,8,18,15,12,14,23,2,9,17,10,13
167,8,1,19,12,7,21,9,2,20,3,18,13,5,6,23
149,13,21,7,22,1,5,2,19,4,10,9,8,11,14,3
212,19,20,10,21,23,6,8,13,16,11,17,18,15,1,14
