12
0,83,105,115,80,112,115,102,86,80,97,94
96,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0
result

0,83,105,115,80,112,115,102,86,80,97,94
96,4,8,17,14,10,5,3,15,13,1,6
90,16,5,1,12,9,7,15,2,6,13,4
90,8,1,13,2,17,10,4,3,12,5,15
106,3,15,7,1,13,8,17,5,11,10,16
123,7,6,16,11,14,3,13,17,15,12,9
92,6,16,15,4,8,14,7,12,5,2,3
81,1,4,8,6,7,11,9,14,3,16,2
103,9,13,14,8,5,17,6,7,1,11,12
103,13,17,11,7,15,9,2,4,8,3,14
98,14,11,10,5,3,15,12,1,2,17,8
87,2,9,3,10,11,16,14,6,4,7,5
