19
0,236,233,262,274,279,252,237,227,261,255,233,275,260,217,246,253,233,246
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,236,233,262,274,279,252,237,227,261,255,233,275,260,217,246,253,233,246
259,27,16,3,21,23,9,10,2,5,24,20,26,12,4,25,6,7,19
244,1,2,16,23,3,17,18,26,25,6,8,13,21,20,22,11,5,7
261,2,17,23,5,19,22,11,6,1,13,21,9,26,15,16,3,25,27
247,12,18,19,20,17,5,2,25,6,4,3,23,16,8,7,26,21,15
251,18,14,2,16,26,25,12,8,11,27,19,20,13,1,9,21,4,5
209,5,8,21,24,25,1,23,7,14,2,13,4,6,9,11,15,3,18
281,19,10,11,12,13,16,20,15,26,7,6,22,1,27,23,18,14,21
253,20,26,18,7,2,6,13,17,16,5,14,27,15,11,21,4,8,23
224,15,3,10,26,11,19,4,13,27,9,2,8,5,6,1,23,17,25
240,13,27,6,15,14,21,7,3,24,18,11,19,2,22,12,8,1,17
273,7,25,22,18,15,14,1,27,3,23,10,17,8,13,24,16,26,4
218,10,4,24,3,22,12,17,9,7,19,23,11,14,5,6,1,15,16
275,23,5,27,9,12,11,25,14,17,16,1,10,18,26,13,20,22,6
271,17,12,26,27,8,18,14,1,2,11,25,16,23,10,4,13,24,20
259,21,13,15,6,20,4,3,10,23,25,17,5,24,18,27,14,2,12
229,16,23,1,13,7,3,21,12,20,15,9,24,17,2,5,22,11,8
232,6,1,13,19,24,23,9,21,12,10,15,14,20,3,17,7,16,2
253,4,9,5,10,18,26,27,11,22,21,16,7,19,17,3,25,12,1
