18
0,218,218,240,248,193,228,199,240,214,220,232,238,214,277,272,250,229
251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
result

0,218,218,240,248,193,228,199,240,214,220,232,238,214,277,272,250,229
251,17,6,21,9,18,23,1,10,24,19,4,12,26,20,16,22,3
231,15,7,8,23,13,21,10,16,20,5,18,14,9,26,19,6,1
242,10,26,9,22,7,8,5,12,25,18,11,15,17,13,1,19,24
263,1,14,13,16,5,19,25,9,22,23,10,21,18,24,2,26,15
222,23,19,26,2,15,13,7,4,17,20,5,1,3,10,25,21,11
237,6,2,16,18,24,17,20,25,21,12,15,11,5,14,10,13,8
224,11,1,5,19,9,14,18,8,4,24,21,17,6,25,26,3,13
245,19,5,2,17,8,9,4,15,13,7,20,23,24,22,18,25,14
229,22,12,24,7,1,25,17,20,8,2,3,16,21,19,23,5,4
225,26,8,3,5,10,6,21,22,2,13,9,24,19,17,20,4,16
220,3,15,1,12,26,22,11,17,5,16,14,9,4,7,21,18,19
224,5,21,20,26,3,18,15,1,7,4,22,10,13,8,17,11,23
240,9,23,22,6,25,2,13,5,19,8,17,7,10,15,24,14,21
206,13,11,15,10,6,4,2,21,12,14,7,3,16,23,8,24,17
219,16,22,25,21,2,15,19,6,3,9,24,20,1,4,5,17,10
218,2,16,12,11,17,7,8,26,1,25,6,13,14,18,22,15,5
234,20,10,18,24,4,5,3,23,11,1,26,22,8,12,15,7,25
