12
0,99,103,90,104,101,106,104,109,117,93,75
103,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0
result

0,99,103,90,104,101,106,104,109,117,93,75
103,10,4,5,11,14,9,6,3,16,17,8
108,16,13,2,6,17,7,10,8,15,3,11
93,1,7,3,14,8,17,2,11,10,15,5
91,8,3,15,13,11,5,17,7,2,9,1
98,17,12,9,3,2,6,16,14,11,1,7
109,7,1,12,8,10,15,14,16,17,5,4
81,2,17,1,5,4,12,3,9,6,7,15
123,15,14,4,17,13,11,12,10,9,16,2
89,4,6,17,2,3,8,15,1,14,10,9
112,5,15,16,9,12,14,8,13,4,6,10
94,14,11,6,16,7,2,1,17,13,4,3
