11
0,79,83,82,69,73,85,82,82,87,85
85,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0
result

0,79,83,82,69,73,85,82,82,87,85
85,1,14,13,9,8,2,5,12,15,6
74,2,3,5,4,10,9,6,15,13,7
77,9,4,2,6,3,10,13,5,11,14
73,3,11,8,5,1,7,15,6,4,13
87,8,10,3,15,12,11,1,9,14,4
77,10,9,15,1,11,6,2,8,12,3
79,15,8,11,2,6,14,7,3,1,12
86,13,5,10,14,15,8,9,7,3,2
86,11,7,14,3,2,5,10,13,6,15
83,7,12,1,10,5,13,14,4,8,9
